SP,CC,CSab,P1ab,P2ab,P3ab,P4ab,P5ab,CSad,P1ad,P2ad,P3ad,P4ad,P5ad
FP,18.27,9.66,0.1,0.12,0.14,0.11,0.08,16.31,0.34,0.38,0.63,0.54,0.24
FP,16.76,9.51,0.09,0.1,0.13,0.11,0.06,15.66,0.29,0.36,0.57,0.34,0.27
FP,17.17,9.29,0.09,0.13,0.17,0.11,0.09,15.16,0.27,0.33,0.38,0.26,0.19
FP,15.96,8.07,0.05,0.09,0.15,0.08,0.06,14.86,0.24,0.28,0.36,0.26,0.24
FS,19.21,12.39,0.13,0.21,0.27,0.21,0.19,17.28,0.15,0.26,0.49,0.31,0.19
FS,18.84,8.99,0.14,0.24,0.38,0.26,0.17,16.97,0.18,0.31,0.58,0.51,0.21
FS,16.72,9.22,0.11,0.22,0.26,0.22,0.19,15.49,0.14,0.29,0.35,0.27,0.19
FS,16.31,11.61,0.16,0.21,0.28,0.23,0.21,15.98,0.13,0.17,0.32,0.24,0.13
FS,19.98,10.31,0.19,0.23,0.34,0.23,0.17,19.18,0.24,0.33,0.42,0.37,0.16
FS,18.41,9.41,0.14,0.17,0.29,0.24,0.14,15.24,0.14,0.24,0.44,0.25,0.21
FS,17.11,10.76,0.19,0.22,0.31,0.23,0.22,16.34,0.11,0.15,0.35,0.32,0.26
FS,16.47,8.94,0.13,0.19,0.25,0.19,0.15,16.03,0.17,0.21,0.59,0.39,0.18
FS,21.23,10.09,0.19,0.33,0.41,0.34,0.29,19.18,0.19,0.46,0.57,0.41,0.16
FS,22.83,11.35,0.14,0.21,0.31,0.18,0.16,21.19,0.18,0.35,0.64,0.39,0.21
FS,24.47,9.95,0.13,0.15,0.26,0.18,0.16,22.01,0.19,0.38,0.59,0.34,0.15
FS,20.15,11.18,0.17,0.23,0.36,0.22,0.19,18.84,0.19,0.29,0.56,0.32,0.18
FS,21.65,9.63,0.11,0.18,0.23,0.21,0.18,21.09,0.19,0.27,0.75,0.32,0.14
FS,26.59,9.36,0.16,0.31,0.39,0.31,0.22,25.34,0.19,0.45,0.74,0.45,0.27
FS,23.71,11.11,0.16,0.24,0.34,0.31,0.21,21.77,0.13,0.43,0.71,0.46,0.08
FS,20.19,15.25,0.19,0.25,0.39,0.31,0.25,18.21,0.18,0.22,0.46,0.44,0.13
FS,24.51,12.79,0.15,0.18,0.28,0.21,0.19,22.31,0.29,0.35,0.65,0.48,0.23
FS,23.38,12.81,0.16,0.27,0.41,0.27,0.26,21.82,0.16,0.39,0.43,0.38,0.23
FS,24.48,14.13,0.19,0.33,0.43,0.34,0.32,22.81,0.25,0.48,0.76,0.59,0.37
FS,18.66,12.88,0.13,0.25,0.32,0.31,0.25,16.02,0.14,0.19,0.33,0.28,0.14
FS,16.23,9.85,0.14,0.17,0.21,0.18,0.14,15.93,0.15,0.21,0.49,0.26,0.17
FS,17.33,9.38,0.13,0.17,0.22,0.17,0.15,15.95,0.19,0.26,0.38,0.22,0.11
FS,20.86,12.93,0.15,0.28,0.42,0.36,0.28,19.63,0.17,0.34,0.58,0.31,0.24
FS,20.71,10.83,0.16,0.26,0.35,0.31,0.29,18.51,0.17,0.26,0.51,0.36,0.19
FS,20.59,10.25,0.17,0.24,0.31,0.25,0.23,19.54,0.14,0.25,0.57,0.34,0.18
FS,21.44,11.57,0.14,0.25,0.29,0.25,0.24,20.92,0.15,0.31,0.45,0.36,0.21
FS,16.23,8.33,0.16,0.21,0.24,0.21,0.17,15.53,0.14,0.21,0.39,0.22,0.17
FS,17.38,10.53,0.15,0.29,0.38,0.33,0.26,15.65,0.09,0.22,0.36,0.28,0.16
FS,19.89,10.01,0.15,0.25,0.32,0.28,0.27,18.43,0.19,0.37,0.39,0.25,0.18
FS,19.42,9.91,0.14,0.25,0.29,0.23,0.18,18.56,0.13,0.37,0.45,0.28,0.12
FS,16.71,12.29,0.16,0.19,0.33,0.24,0.21,14.56,0.18,0.21,0.49,0.19,0.14
FS,21.19,10.51,0.14,0.24,0.37,0.26,0.24,19.17,0.18,0.23,0.57,0.32,0.16
FS,19.34,11.74,0.18,0.29,0.34,0.31,0.27,18.83,0.21,0.35,0.45,0.29,0.22
FS,17.45,10.46,0.16,0.23,0.33,0.26,0.17,16.89,0.11,0.27,0.53,0.34,0.22
FS,17.77,10.92,0.14,0.26,0.31,0.27,0.22,15.61,0.16,0.18,0.47,0.25,0.16
FS,19.82,10.47,0.15,0.23,0.31,0.21,0.19,16.58,0.18,0.34,0.48,0.27,0.17
FS,28.09,12.69,0.21,0.37,0.58,0.52,0.35,25.54,0.29,0.63,0.7708,0.54,0.23
FS,28.39,16.17,0.29,0.49,0.66,0.49,0.41,27.21,0.29,0.51,0.8353,0.6328,0.34
FS,28.63,13.25,0.25,0.36,0.38,0.36,0.35,27.52,0.24,0.69,0.81,0.59,0.36
FS,26.31,12.66,0.21,0.35,0.42,0.35,0.23,25.02,0.18,0.35,0.5553,0.44,0.21
FS,24.95,14.48,0.23,0.32,0.44,0.35,0.24,23.46,0.24,0.37,0.62,0.45,0.21
FS,21.26,11.78,0.22,0.29,0.38,0.28,0.26,19.33,0.14,0.23,0.43,0.31,0.24
FS,21.38,12.67,0.18,0.31,0.46,0.33,0.29,20.02,0.15,0.29,0.51,0.29,0.18
FS,22.28,9.91,0.17,0.22,0.31,0.27,0.25,21.18,0.12,0.25,0.47,0.33,0.23
FS,19.61,12.19,0.16,0.21,0.35,0.21,0.15,17.34,0.16,0.36,0.65,0.35,0.22
FS,27.93,12.9,0.22,0.41,0.58,0.58,0.55,26.65,0.22,0.49,0.95,0.5887,0.32
FS,23.59,11.94,0.13,0.21,0.33,0.24,0.15,22.26,0.18,0.42,0.62,0.36,0.16
FS,18.76,9.54,0.14,0.23,0.32,0.25,0.22,16.68,0.16,0.24,0.35,0.24,0.18
FS,18.52,10.72,0.15,0.17,0.21,0.17,0.13,16.31,0.12,0.16,0.36,0.33,0.11
FS,23.38,13.97,0.22,0.36,0.41,0.36,0.33,21.54,0.21,0.33,0.61,0.53,0.24
FS,22.18,12.97,0.24,0.43,0.28,0.46,0.48,20.67,0.36,0.43,0.54,0.39,0.17
FS,20.32,10.12,0.13,0.16,0.27,0.18,0.11,19.75,0.17,0.36,0.58,0.36,0.22
FS,21.65,13.33,0.14,0.17,0.27,0.17,0.11,20.08,0.21,0.32,0.56,0.41,0.18
FS,17.31,11.39,0.21,0.26,0.33,0.32,0.31,14.44,0.21,0.21,0.35,0.18,0.21
